# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
3700.0 1000 0.009 0.624 0.013 0.368 0.002016 0.001974 0.001994 8.339e+04 2.9e+04 5.619e+04 1.69 -0.6813 0.5043 4.009e+05
3800.0 1000 0.008 0.623 0.013 0.369 0.002016 0.001974 0.001994 8.305e+04 2.913e+04 5.609e+04 1.685 -0.6863 0.4995 4.009e+05
3900.0 1000 0.008 0.621 0.013 0.370 0.002016 0.001974 0.001994 8.271e+04 2.927e+04 5.599e+04 1.681 -0.6913 0.4947 4.009e+05
4000.0 1000 0.008 0.620 0.013 0.370 0.002016 0.001974 0.001994 8.238e+04 2.941e+04 5.589e+04 1.676 -0.6962 0.4899 4.009e+05
4100.0 1000 0.008 0.619 0.013 0.371 0.002016 0.001974 0.001994 8.204e+04 2.955e+04 5.58e+04 1.671 -0.7012 0.4851 4.009e+05
4200.0 1000 0.008 0.618 0.013 0.372 0.002016 0.001974 0.001994 8.171e+04 2.969e+04 5.57e+04 1.667 -0.7062 0.4802 4.009e+05
4300.0 1000 0.008 0.616 0.013 0.373 0.002016 0.001974 0.001994 8.138e+04 2.983e+04 5.56e+04 1.662 -0.7112 0.4754 4.009e+05
4400.0 1000 0.008 0.615 0.013 0.374 0.002016 0.001974 0.001994 8.104e+04 2.997e+04 5.551e+04 1.657 -0.7162 0.4706 4.009e+05
4500.0 1000 0.008 0.614 0.013 0.375 0.002016 0.001974 0.001994 8.071e+04 3.012e+04 5.541e+04 1.653 -0.7212 0.4658 4.009e+05
4600.0 1000 0.008 0.612 0.013 0.376 0.002016 0.001974 0.001994 8.038e+04 3.026e+04 5.532e+04 1.648 -0.7261 0.461 4.009e+05
4700.0 1000 0.008 0.611 0.013 0.377 0.002016 0.001974 0.001994 8.005e+04 3.041e+04 5.523e+04 1.643 -0.7311 0.4562 4.009e+05
4800.0 1000 0.008 0.610 0.013 0.378 0.002016 0.001974 0.001994 7.972e+04 3.055e+04 5.514e+04 1.639 -0.7361 0.4513 4.009e+05
4900.0 1000 0.008 0.609 0.013 0.379 0.002016 0.001974 0.001994 7.94e+04 3.07e+04 5.505e+04 1.634 -0.7411 0.4465 4.009e+05
5000.0 1000 0.008 0.607 0.013 0.379 0.002016 0.001974 0.001994 7.907e+04 3.085e+04 5.496e+04 1.629 -0.7461 0.4417 4.009e+05
5100.0 1000 0.008 0.606 0.013 0.380 0.002016 0.001974 0.001994 7.875e+04 3.1e+04 5.487e+04 1.625 -0.751 0.4369 4.009e+05
5200.0 1000 0.008 0.605 0.014 0.381 0.002016 0.001974 0.001994 7.842e+04 3.115e+04 5.479e+04 1.62 -0.756 0.4321 4.009e+05
5300.0 1000 0.008 0.604 0.014 0.382 0.002016 0.001974 0.001994 7.81e+04 3.13e+04 5.47e+04 1.616 -0.761 0.4273 4.009e+05
5400.0 1000 0.008 0.602 0.014 0.383 0.002016 0.001974 0.001994 7.777e+04 3.146e+04 5.462e+04 1.611 -0.766 0.4225 4.009e+05
5500.0 1000 0.008 0.601 0.014 0.384 0.002016 0.001974 0.001994 7.745e+04 3.161e+04 5.453e+04 1.606 -0.771 0.4176 4.009e+05
5600.0 1000 0.008 0.600 0.014 0.385 0.002016 0.001974 0.001994 7.713e+04 3.176e+04 5.445e+04 1.602 -0.7759 0.4128 4.009e+05
5700.0 1000 0.008 0.599 0.014 0.386 0.002016 0.001974 0.001994 7.681e+04 3.192e+04 5.437e+04 1.597 -0.7809 0.408 4.009e+05
5800.0 1000 0.008 0.597 0.014 0.387 0.002016 0.001974 0.001994 7.649e+04 3.208e+04 5.429e+04 1.592 -0.7859 0.4032 4.009e+05
5900.0 1000 0.008 0.596 0.014 0.388 0.002016 0.001974 0.001994 7.618e+04 3.223e+04 5.421e+04 1.588 -0.7909 0.3984 4.009e+05
6000.0 1000 0.008 0.595 0.014 0.389 0.002016 0.001974 0.001994 7.586e+04 3.239e+04 5.413e+04 1.583 -0.7959 0.3936 4.009e+05
6100.0 1000 0.008 0.594 0.014 0.390 0.002016 0.001974 0.001994 7.554e+04 3.255e+04 5.405e+04 1.578 -0.8008 0.3887 4.009e+05
6200.0 1000 0.008 0.593 0.014 0.391 0.002016 0.001974 0.001994 7.523e+04 3.271e+04 5.397e+04 1.574 -0.8058 0.3839 4.009e+05
6300.0 1000 0.008 0.591 0.014 0.392 0.002016 0.001974 0.001994 7.491e+04 3.288e+04 5.389e+04 1.569 -0.8108 0.3791 4.009e+05
6400.0 1000 0.007 0.590 0.014 0.393 0.002016 0.001974 0.001994 7.46e+04 3.304e+04 5.382e+04 1.564 -0.8158 0.3743 4.009e+05
6500.0 1000 0.007 0.589 0.014 0.394 0.002016 0.001974 0.001994 7.429e+04 3.32e+04 5.374e+04 1.56 -0.8208 0.3695 4.009e+05
6600.0 1000 0.007 0.588 0.014 0.395 0.002016 0.001974 0.001994 7.398e+04 3.337e+04 5.367e+04 1.555 -0.8258 0.3647 4.009e+05
6700.0 1000 0.007 0.586 0.014 0.396 0.002016 0.001974 0.001994 7.367e+04 3.353e+04 5.36e+04 1.55 -0.8307 0.3599 4.009e+05
6800.0 1000 0.007 0.585 0.014 0.397 0.002016 0.001974 0.001994 7.336e+04 3.37e+04 5.353e+04 1.546 -0.8357 0.355 4.009e+05
6900.0 1000 0.007 0.584 0.014 0.398 0.002016 0.001974 0.001994 7.305e+04 3.387e+04 5.346e+04 1.541 -0.8407 0.3502 4.009e+05
7000.0 1000 0.007 0.583 0.014 0.399 0.002016 0.001974 0.001994 7.274e+04 3.403e+04 5.339e+04 1.536 -0.8457 0.3454 4.009e+05
7100.0 1000 0.007 0.581 0.014 0.400 0.002016 0.001974 0.001994 7.243e+04 3.42e+04 5.332e+04 1.532 -0.8507 0.3406 4.009e+05
7200.0 1000 0.007 0.580 0.014 0.401 0.002016 0.001974 0.001994 7.213e+04 3.437e+04 5.325e+04 1.527 -0.8556 0.3358 4.009e+05
7300.0 1000 0.007 0.579 0.014 0.402 0.002016 0.001974 0.001994 7.182e+04 3.455e+04 5.318e+04 1.523 -0.8606 0.331 4.009e+05
7400.0 1000 0.007 0.578 0.014 0.403 0.002016 0.001974 0.001994 7.152e+04 3.472e+04 5.312e+04 1.518 -0.8656 0.3261 4.009e+05
7500.0 1000 0.007 0.577 0.014 0.404 0.002016 0.001974 0.001994 7.121e+04 3.489e+04 5.305e+04 1.513 -0.8706 0.3213 4.009e+05
7600.0 1000 0.007 0.575 0.014 0.405 0.002016 0.001974 0.001994 7.091e+04 3.507e+04 5.299e+04 1.509 -0.8756 0.3165 4.009e+05
7700.0 1000 0.007 0.574 0.014 0.406 0.002016 0.001974 0.001994 7.061e+04 3.524e+04 5.293e+04 1.504 -0.8805 0.3117 4.009e+05
7800.0 1000 0.007 0.573 0.014 0.407 0.002016 0.001974 0.001994 7.031e+04 3.542e+04 5.287e+04 1.499 -0.8855 0.3069 4.009e+05
7900.0 1000 0.007 0.572 0.015 0.408 0.002016 0.001974 0.001994 7.001e+04 3.56e+04 5.28e+04 1.495 -0.8905 0.3021 4.009e+05
8000.0 1000 0.007 0.570 0.015 0.409 0.002016 0.001974 0.001994 6.971e+04 3.578e+04 5.274e+04 1.49 -0.8955 0.2973 4.009e+05
8100.0 1000 0.007 0.569 0.015 0.410 0.002016 0.001974 0.001994 6.942e+04 3.596e+04 5.269e+04 1.485 -0.9005 0.2924 4.009e+05
8200.0 1000 0.007 0.568 0.015 0.411 0.002016 0.001974 0.001994 6.912e+04 3.614e+04 5.263e+04 1.481 -0.9055 0.2876 4.009e+05
8300.0 1000 0.007 0.567 0.015 0.412 0.002016 0.001974 0.001994 6.882e+04 3.632e+04 5.257e+04 1.476 -0.9104 0.2828 4.009e+05
8400.0 1000 0.007 0.566 0.015 0.413 0.002016 0.001974 0.001994 6.853e+04 3.65e+04 5.251e+04 1.471 -0.9154 0.278 4.009e+05
8500.0 1000 0.007 0.564 0.015 0.414 0.002016 0.001974 0.001994 6.823e+04 3.668e+04 5.246e+04 1.467 -0.9204 0.2732 4.009e+05
8600.0 1000 0.007 0.563 0.015 0.415 0.002016 0.001974 0.001994 6.794e+04 3.687e+04 5.24e+04 1.462 -0.9254 0.2684 4.009e+05
8700.0 1000 0.007 0.562 0.015 0.416 0.002016 0.001974 0.001994 6.765e+04 3.705e+04 5.235e+04 1.457 -0.9304 0.2635 4.009e+05
8800.0 1000 0.007 0.561 0.015 0.417 0.002016 0.001974 0.001994 6.736e+04 3.724e+04 5.23e+04 1.453 -0.9353 0.2587 4.009e+05
8900.0 1000 0.007 0.559 0.015 0.418 0.002016 0.001974 0.001994 6.707e+04 3.743e+04 5.225e+04 1.448 -0.9403 0.2539 4.009e+05
9000.0 1000 0.006 0.558 0.015 0.419 0.002016 0.001974 0.001994 6.678e+04 3.762e+04 5.22e+04 1.443 -0.9453 0.2491 4.009e+05
9100.0 1000 0.006 0.557 0.015 0.420 0.002016 0.001974 0.001994 6.649e+04 3.781e+04 5.215e+04 1.439 -0.9503 0.2443 4.009e+05
9200.0 1000 0.006 0.556 0.015 0.421 0.002016 0.001974 0.001994 6.62e+04 3.8e+04 5.21e+04 1.434 -0.9553 0.2395 4.009e+05
9300.0 1000 0.006 0.555 0.015 0.422 0.002016 0.001974 0.001994 6.592e+04 3.819e+04 5.205e+04 1.43 -0.9602 0.2347 4.009e+05
9400.0 1000 0.006 0.553 0.015 0.423 0.002016 0.001974 0.001994 6.563e+04 3.838e+04 5.201e+04 1.425 -0.9652 0.2298 4.009e+05
9500.0 1000 0.006 0.552 0.015 0.424 0.002016 0.001974 0.001994 6.535e+04 3.857e+04 5.196e+04 1.42 -0.9702 0.225 4.009e+05
9600.0 1000 0.006 0.551 0.015 0.425 0.002016 0.001974 0.001994 6.506e+04 3.877e+04 5.192e+04 1.416 -0.9752 0.2202 4.009e+05
9700.0 1000 0.006 0.550 0.015 0.426 0.002016 0.001974 0.001994 6.478e+04 3.896e+04 5.187e+04 1.411 -0.9802 0.2154 4.009e+05
9800.0 1000 0.006 0.549 0.015 0.428 0.002016 0.001974 0.001994 6.45e+04 3.916e+04 5.183e+04 1.406 -0.9851 0.2106 4.009e+05
9900.0 1000 0.006 0.547 0.015 0.429 0.002016 0.001974 0.001994 6.422e+04 3.936e+04 5.179e+04 1.402 -0.9901 0.2058 4.009e+05
10000.0 1000 0.006 0.546 0.015 0.430 0.002016 0.001974 0.001994 6.394e+04 3.956e+04 5.175e+04 1.397 -0.9951 0.2009 4.009e+05
10100.0 1000 0.006 0.545 0.015 0.431 0.002016 0.001974 0.001994 6.366e+04 3.976e+04 5.171e+04 1.392 -1 0.1961 4.009e+05
10200.0 1000 0.006 0.544 0.015 0.432 0.002016 0.001974 0.001994 6.338e+04 3.996e+04 5.167e+04 1.388 -1.005 0.1913 4.009e+05
10300.0 1000 0.006 0.543 0.015 0.433 0.002016 0.001974 0.001994 6.31e+04 4.016e+04 5.163e+04 1.383 -1.01 0.1865 4.009e+05
10400.0 1000 0.006 0.541 0.015 0.434 0.002016 0.001974 0.001994 6.283e+04 4.036e+04 5.159e+04 1.378 -1.015 0.1817 4.009e+05
10500.0 1000 0.006 0.540 0.015 0.435 0.002016 0.001974 0.001994 6.255e+04 4.056e+04 5.156e+04 1.374 -1.02 0.1769 4.009e+05
10600.0 1000 0.006 0.539 0.016 0.436 0.002016 0.001974 0.001994 6.228e+04 4.077e+04 5.152e+04 1.369 -1.025 0.172 4.009e+05
10700.0 1000 0.006 0.538 0.016 0.437 0.002016 0.001974 0.001994 6.201e+04 4.097e+04 5.149e+04 1.364 -1.03 0.1672 4.009e+05
10800.0 1000 0.006 0.537 0.016 0.438 0.002016 0.001974 0.001994 6.173e+04 4.118e+04 5.146e+04 1.36 -1.035 0.1624 4.009e+05
10900.0 1000 0.006 0.536 0.016 0.440 0.002016 0.001974 0.001994 6.146e+04 4.139e+04 5.143e+04 1.355 -1.04 0.1576 4.009e+05
11000.0 1000 0.006 0.534 0.016 0.441 0.002016 0.001974 0.001994 6.119e+04 4.16e+04 5.139e+04 1.35 -1.045 0.1528 4.009e+05
11100.0 1000 0.006 0.533 0.016 0.442 0.002016 0.001974 0.001994 6.092e+04 4.181e+04 5.136e+04 1.346 -1.05 0.148 4.009e+05
11200.0 1000 0.006 0.532 0.016 0.443 0.002016 0.001974 0.001994 6.065e+04 4.202e+04 5.133e+04 1.341 -1.055 0.1432 4.009e+05
11300.0 1000 0.006 0.531 0.016 0.444 0.002016 0.001974 0.001994 6.039e+04 4.223e+04 5.131e+04 1.337 -1.06 0.1383 4.009e+05
11400.0 1000 0.006 0.530 0.016 0.445 0.002016 0.001974 0.001994 6.012e+04 4.244e+04 5.128e+04 1.332 -1.065 0.1335 4.009e+05
11500.0 1000 0.006 0.529 0.016 0.446 0.002016 0.001974 0.001994 5.985e+04 4.265e+04 5.125e+04 1.327 -1.07 0.1287 4.009e+05
11600.0 1000 0.006 0.527 0.016 0.447 0.002016 0.001974 0.001994 5.959e+04 4.287e+04 5.123e+04 1.323 -1.075 0.1239 4.009e+05
11700.0 1000 0.005 0.526 0.016 0.448 0.002016 0.001974 0.001994 5.932e+04 4.308e+04 5.12e+04 1.318 -1.08 0.1191 4.009e+05
11800.0 1000 0.005 0.525 0.016 0.450 0.002016 0.001974 0.001994 5.906e+04 4.33e+04 5.118e+04 1.313 -1.085 0.1143 4.009e+05
11900.0 1000 0.005 0.524 0.016 0.451 0.002016 0.001974 0.001994 5.88e+04 4.352e+04 5.116e+04 1.309 -1.09 0.1094 4.009e+05
12000.0 1000 0.005 0.523 0.016 0.452 0.002016 0.001974 0.001994 5.854e+04 4.374e+04 5.114e+04 1.304 -1.095 0.1046 4.009e+05
12100.0 1000 0.005 0.522 0.016 0.453 0.002016 0.001974 0.001994 5.828e+04 4.396e+04 5.112e+04 1.299 -1.1 0.09982 4.009e+05
12200.0 1000 0.005 0.520 0.016 0.454 0.002016 0.001974 0.001994 5.802e+04 4.418e+04 5.11e+04 1.295 -1.105 0.095 4.009e+05
12300.0 1000 0.005 0.519 0.016 0.455 0.002016 0.001974 0.001994 5.776e+04 4.44e+04 5.108e+04 1.29 -1.11 0.09018 4.009e+05
12400.0 1000 0.005 0.518 0.016 0.456 0.002016 0.001974 0.001994 5.75e+04 4.462e+04 5.106e+04 1.285 -1.115 0.08537 4.009e+05
12500.0 1000 0.005 0.517 0.016 0.457 0.002016 0.001974 0.001994 5.724e+04 4.484e+04 5.104e+04 1.281 -1.12 0.08055 4.009e+05
